Loaded existing model.
[LOG] ➡️ Chosen Word: 'own' | Target POS: N/A | Chosen POS: VERB
[LOG] ➡️ Chosen Word: 'but' | Target POS: N/A | Chosen POS: CCONJ
[LOG] ➡️ Chosen Word: 'we' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'do' | Target POS: N/A | Chosen POS: VERB
[LOG] ➡️ Chosen Word: 'you' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'know' | Target POS: N/A | Chosen POS: VERB
[LOG] ➡️ Chosen Word: 'that' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'you' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'canâ€' | Target POS: N/A | Chosen POS: PROPN
[LOG] ➡️ Chosen Word: '™' | Target POS: N/A | Chosen POS: NOUN
[LOG] ➡️ Chosen Word: 's' | Target POS: N/A | Chosen POS: VERB
[SKIP] Not a complete thought: Heart be place I come too narrow but we do you know that you canâ€ ™ s.
[LOG] ➡️ Chosen Word: 'a' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'young' | Target POS: N/A | Chosen POS: ADJ
[LOG] ➡️ Chosen Word: 'man' | Target POS: N/A | Chosen POS: NOUN
[LOG] ➡️ Chosen Word: 'I' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'be' | Target POS: N/A | Chosen POS: AUX
[LOG] ➡️ Chosen Word: 'silent' | Target POS: N/A | Chosen POS: ADJ
[LOG] ➡️ Chosen Word: 'and' | Target POS: N/A | Chosen POS: CCONJ
[LOG] ➡️ Chosen Word: 'the' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'back' | Target POS: N/A | Chosen POS: ADV
[LOG] ➡️ Chosen Word: 'to' | Target POS: N/A | Chosen POS: ADP
[LOG] ➡️ Chosen Word: 'be' | Target POS: N/A | Chosen POS: AUX
[LOG] ➡️ Chosen Word: 'work' | Target POS: N/A | Chosen POS: NOUN
[LOG] ➡️ Chosen Word: 'be' | Target POS: N/A | Chosen POS: AUX
[LOG] ➡️ Chosen Word: 'very' | Target POS: N/A | Chosen POS: ADV
[LOG] ➡️ Chosen Word: 'soul' | Target POS: N/A | Chosen POS: NOUN
[LOG] ➡️ Chosen Word: 'in' | Target POS: N/A | Chosen POS: ADP
[LOG] ➡️ Chosen Word: 'council' | Target POS: N/A | Chosen POS: NOUN
Attempt 1: Generated incoherent sentence: He bow council.
[LOG] ➡️ Chosen Word: 'a' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'small' | Target POS: N/A | Chosen POS: ADJ
[LOG] ➡️ Chosen Word: 'of' | Target POS: N/A | Chosen POS: ADP
[LOG] ➡️ Chosen Word: 'its' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'full' | Target POS: N/A | Chosen POS: ADJ
[LOG] ➡️ Chosen Word: 'force' | Target POS: N/A | Chosen POS: NOUN
[LOG] ➡️ Chosen Word: 'to' | Target POS: N/A | Chosen POS: ADP
[LOG] ➡️ Chosen Word: 'be' | Target POS: N/A | Chosen POS: AUX
[LOG] ➡️ Chosen Word: 'his' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'father' | Target POS: N/A | Chosen POS: NOUN
[LOG] ➡️ Chosen Word: ''s' | Target POS: N/A | Chosen POS: AUX
[LOG] ➡️ Chosen Word: 'brink' | Target POS: N/A | Chosen POS: VERB
[LOG] ➡️ Chosen Word: 'of' | Target POS: N/A | Chosen POS: ADP
[LOG] ➡️ Chosen Word: 'Police' | Target POS: N/A | Chosen POS: NOUN
[WARN] Combined scores zero. Fallback to uniform distribution.
[LOG] ➡️ Chosen Word: '

' | Target POS: N/A | Chosen POS: SPACE
[LOG] ➡️ Chosen Word: 'he' | Target POS: N/A | Chosen POS: PRON
Attempt 2: Generated incoherent sentence: Stop in a small of its full force to be his father 's brink of Police he.
[LOG] ➡️ Chosen Word: 'man' | Target POS: N/A | Chosen POS: NOUN
[LOG] ➡️ Chosen Word: 'have' | Target POS: N/A | Chosen POS: VERB
[LOG] ➡️ Chosen Word: 'some' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'important' | Target POS: N/A | Chosen POS: ADJ
[LOG] ➡️ Chosen Word: 'to' | Target POS: N/A | Chosen POS: ADP
[LOG] ➡️ Chosen Word: 'appreciate' | Target POS: N/A | Chosen POS: VERB
[LOG] ➡️ Chosen Word: 'the' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'meantime' | Target POS: N/A | Chosen POS: ADV
[LOG] ➡️ Chosen Word: 'the' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'road' | Target POS: N/A | Chosen POS: NOUN
[LOG] ➡️ Chosen Word: 'which' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'it' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'be' | Target POS: N/A | Chosen POS: AUX
[LOG] ➡️ Chosen Word: 'not' | Target POS: N/A | Chosen POS: PART
[LOG] ➡️ Chosen Word: 'exactly' | Target POS: N/A | Chosen POS: ADV
[LOG] ➡️ Chosen Word: 'like' | Target POS: N/A | Chosen POS: INTJ
[LOG] ➡️ Chosen Word: 'to' | Target POS: N/A | Chosen POS: ADP
[LOG] ➡️ Chosen Word: 'anticipate' | Target POS: N/A | Chosen POS: VERB
[LOG] ➡️ Chosen Word: 'the' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'conclusion' | Target POS: N/A | Chosen POS: NOUN
[LOG] ➡️ Chosen Word: 'be' | Target POS: N/A | Chosen POS: AUX
[LOG] ➡️ Chosen Word: 'the' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'street' | Target POS: N/A | Chosen POS: PROPN
[LOG] ➡️ Chosen Word: 'with' | Target POS: N/A | Chosen POS: ADP
[LOG] ➡️ Chosen Word: 'its' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'influence' | Target POS: N/A | Chosen POS: NOUN
[LOG] ➡️ Chosen Word: 'by' | Target POS: N/A | Chosen POS: ADP
[LOG] ➡️ Chosen Word: 'the' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'fact' | Target POS: N/A | Chosen POS: NOUN
[LOG] ➡️ Chosen Word: 'of' | Target POS: N/A | Chosen POS: ADP
[LOG] ➡️ Chosen Word: 'all' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'of' | Target POS: N/A | Chosen POS: ADP
Attempt 1: Generated incoherent sentence: In respect to anticipate the conclusion be the street with its influence by the fact of all of.
[LOG] ➡️ Chosen Word: 'Duncan' | Target POS: N/A | Chosen POS: PROPN
[LOG] ➡️ Chosen Word: 'he' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'Oliver' | Target POS: N/A | Chosen POS: PROPN
[LOG] ➡️ Chosen Word: '’s' | Target POS: N/A | Chosen POS: VERB
[LOG] ➡️ Chosen Word: 'seat' | Target POS: N/A | Chosen POS: NOUN
[LOG] ➡️ Chosen Word: 'himself' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'he' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'by' | Target POS: N/A | Chosen POS: ADP
[LOG] ➡️ Chosen Word: 'Marie' | Target POS: N/A | Chosen POS: PROPN
[LOG] ➡️ Chosen Word: ''s' | Target POS: N/A | Chosen POS: AUX
[LOG] ➡️ Chosen Word: 'boy' | Target POS: N/A | Chosen POS: NOUN
[LOG] ➡️ Chosen Word: 'he' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'who' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'he' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'speak' | Target POS: N/A | Chosen POS: VERB
[LOG] ➡️ Chosen Word: 'to' | Target POS: N/A | Chosen POS: ADP
Generated Text:
I remember those days. Of snake at which I do you see I recommend. He after a young man I am silent and the back to be work be very soul in. It a man have some important to appreciate the meantime the road which it is not exactly like. Say mr. Duncan he Oliver s seat himself he by Marie 's boy he who he speak to.
