[LOG] ➡️ Chosen Word: 'Rajah' | Target POS: N/A | Chosen POS: PROPN
[LOG] ➡️ Chosen Word: 'know' | Target POS: N/A | Chosen POS: VERB
Generated Text:
I looked at my friends, exhaustion and fear etched into their faces. Struggle by the crime the Rajah 's house you all thing be quite impossible that. Any clue even with they are oblige to find he has lose sight my own it in. Another certainly be withdraw the strong but charming nestle in her murderer would not think just escape. Who get she has always be that another certainly I remember that to the darkness as to know.
Loaded existing model.
[LOG] ➡️ Chosen Word: 'though' | Target POS: N/A | Chosen POS: SCONJ
[LOG] ➡️ Chosen Word: 'some' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'mystery' | Target POS: N/A | Chosen POS: NOUN
[LOG] ➡️ Chosen Word: 'which' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'would' | Target POS: N/A | Chosen POS: AUX
[LOG] ➡️ Chosen Word: 'then' | Target POS: N/A | Chosen POS: ADV
[LOG] ➡️ Chosen Word: 'he' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'would' | Target POS: N/A | Chosen POS: AUX
[LOG] ➡️ Chosen Word: 'have' | Target POS: N/A | Chosen POS: VERB
[LOG] ➡️ Chosen Word: 'never' | Target POS: N/A | Chosen POS: ADV
[LOG] ➡️ Chosen Word: 'occur' | Target POS: N/A | Chosen POS: VERB
[LOG] ➡️ Chosen Word: 'about' | Target POS: N/A | Chosen POS: ADV
[LOG] ➡️ Chosen Word: 'the' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'plan' | Target POS: N/A | Chosen POS: VERB
[LOG] ➡️ Chosen Word: 'before' | Target POS: N/A | Chosen POS: ADP
[LOG] ➡️ Chosen Word: 'the' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'that' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'the' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'first' | Target POS: N/A | Chosen POS: ADV
[LOG] ➡️ Chosen Word: 'to' | Target POS: N/A | Chosen POS: ADP
[LOG] ➡️ Chosen Word: 'the' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'journal' | Target POS: N/A | Chosen POS: PROPN
[LOG] ➡️ Chosen Word: 'itself' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'and' | Target POS: N/A | Chosen POS: CCONJ
[LOG] ➡️ Chosen Word: 'there' | Target POS: N/A | Chosen POS: ADV
[LOG] ➡️ Chosen Word: 'and' | Target POS: N/A | Chosen POS: CCONJ
[LOG] ➡️ Chosen Word: 'so' | Target POS: N/A | Chosen POS: ADV
[LOG] ➡️ Chosen Word: 'little' | Target POS: N/A | Chosen POS: ADJ
[LOG] ➡️ Chosen Word: 'man' | Target POS: N/A | Chosen POS: NOUN
[LOG] ➡️ Chosen Word: 'in' | Target POS: N/A | Chosen POS: ADP
[LOG] ➡️ Chosen Word: 'the' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'rest' | Target POS: N/A | Chosen POS: VERB
[SKIP] Not a complete thought: Blackout now that the first to the journal itself and there and so little man in the rest.
[LOG] ➡️ Chosen Word: 'this' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'be' | Target POS: N/A | Chosen POS: AUX
[LOG] ➡️ Chosen Word: 'understand' | Target POS: N/A | Chosen POS: VERB
[LOG] ➡️ Chosen Word: 'what' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'he' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'might' | Target POS: N/A | Chosen POS: AUX
[LOG] ➡️ Chosen Word: 'recognize' | Target POS: N/A | Chosen POS: VERB
[LOG] ➡️ Chosen Word: 'that' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'startling' | Target POS: N/A | Chosen POS: ADJ
[LOG] ➡️ Chosen Word: 'you' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'shall' | Target POS: N/A | Chosen POS: AUX
[LOG] ➡️ Chosen Word: 'be' | Target POS: N/A | Chosen POS: AUX
[LOG] ➡️ Chosen Word: 'thickly' | Target POS: N/A | Chosen POS: ADV
[LOG] ➡️ Chosen Word: 'with' | Target POS: N/A | Chosen POS: ADP
[LOG] ➡️ Chosen Word: 'her' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'we' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'on' | Target POS: N/A | Chosen POS: ADP
[LOG] ➡️ Chosen Word: 'the' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'fragment' | Target POS: N/A | Chosen POS: NOUN
[LOG] ➡️ Chosen Word: 'slip' | Target POS: N/A | Chosen POS: VERB
[LOG] ➡️ Chosen Word: 'over' | Target POS: N/A | Chosen POS: ADV
[LOG] ➡️ Chosen Word: 'that' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'could' | Target POS: N/A | Chosen POS: AUX
[LOG] ➡️ Chosen Word: 'tell' | Target POS: N/A | Chosen POS: VERB
[LOG] ➡️ Chosen Word: 'they' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'pay' | Target POS: N/A | Chosen POS: VERB
[LOG] ➡️ Chosen Word: 'up' | Target POS: N/A | Chosen POS: ADP
[LOG] ➡️ Chosen Word: 'classification' | Target POS: N/A | Chosen POS: VERB
[LOG] ➡️ Chosen Word: 'and' | Target POS: N/A | Chosen POS: CCONJ
[LOG] ➡️ Chosen Word: 'carefully' | Target POS: N/A | Chosen POS: ADV
[LOG] ➡️ Chosen Word: 'search' | Target POS: N/A | Chosen POS: VERB
[LOG] ➡️ Chosen Word: 'of' | Target POS: N/A | Chosen POS: ADP
[LOG] ➡️ Chosen Word: 'the' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'bottom' | Target POS: N/A | Chosen POS: NOUN
[LOG] ➡️ Chosen Word: 'of' | Target POS: N/A | Chosen POS: ADP
[LOG] ➡️ Chosen Word: 'rough' | Target POS: N/A | Chosen POS: ADJ
[LOG] ➡️ Chosen Word: 'materialism' | Target POS: N/A | Chosen POS: NOUN
[SKIP] Not a complete thought: Closeness of classification and carefully search of the bottom of rough materialism.
[LOG] ➡️ Chosen Word: 'as' | Target POS: N/A | Chosen POS: ADP
[LOG] ➡️ Chosen Word: 'he' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'have' | Target POS: N/A | Chosen POS: VERB
[LOG] ➡️ Chosen Word: 'another' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'in' | Target POS: N/A | Chosen POS: ADP
[LOG] ➡️ Chosen Word: 'this' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'be' | Target POS: N/A | Chosen POS: AUX
[LOG] ➡️ Chosen Word: 'fully' | Target POS: N/A | Chosen POS: ADV
[LOG] ➡️ Chosen Word: 'entertain' | Target POS: N/A | Chosen POS: VERB
[LOG] ➡️ Chosen Word: 'by' | Target POS: N/A | Chosen POS: ADP
[LOG] ➡️ Chosen Word: 'the' | Target POS: N/A | Chosen POS: PRON
Generated Text:
I looked at my friends, exhaustion and fear etched into their faces. A Hindu though some mystery which would then he would have never occur about the plan before the. Way with this is understand what he might recognize that startling you shall be thickly with her. Yell we on the fragment slip over that could tell they pay up. New role as he is is is have another in this fully entertain by the.
Loaded existing model.
[LOG] ➡️ Chosen Word: 'same' | Target POS: N/A | Chosen POS: ADJ
[LOG] ➡️ Chosen Word: 'collection' | Target POS: N/A | Chosen POS: NOUN
[LOG] ➡️ Chosen Word: 'ask' | Target POS: N/A | Chosen POS: VERB
[LOG] ➡️ Chosen Word: 'his' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'hand' | Target POS: N/A | Chosen POS: NOUN
[LOG] ➡️ Chosen Word: 'upon' | Target POS: N/A | Chosen POS: SCONJ
[LOG] ➡️ Chosen Word: 'a' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'chair' | Target POS: N/A | Chosen POS: NOUN
[LOG] ➡️ Chosen Word: 'and' | Target POS: N/A | Chosen POS: CCONJ
[LOG] ➡️ Chosen Word: 'that' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'although' | Target POS: N/A | Chosen POS: SCONJ
[LOG] ➡️ Chosen Word: 'the' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'of' | Target POS: N/A | Chosen POS: ADP
[LOG] ➡️ Chosen Word: 'low' | Target POS: N/A | Chosen POS: ADJ
[LOG] ➡️ Chosen Word: 'water' | Target POS: N/A | Chosen POS: NOUN
[LOG] ➡️ Chosen Word: 'the' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'assassin' | Target POS: N/A | Chosen POS: VERB
[LOG] ➡️ Chosen Word: ' ' | Target POS: N/A | Chosen POS: SPACE
[LOG] ➡️ Chosen Word: 'friend' | Target POS: N/A | Chosen POS: NOUN
[LOG] ➡️ Chosen Word: 'say' | Target POS: N/A | Chosen POS: VERB
[LOG] ➡️ Chosen Word: 'he' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'have' | Target POS: N/A | Chosen POS: VERB
[LOG] ➡️ Chosen Word: 'be' | Target POS: N/A | Chosen POS: AUX
[LOG] ➡️ Chosen Word: 'thousand' | Target POS: N/A | Chosen POS: NUM
[LOG] ➡️ Chosen Word: 'franc' | Target POS: N/A | Chosen POS: VERB
[LOG] ➡️ Chosen Word: 'which' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'could' | Target POS: N/A | Chosen POS: AUX
[LOG] ➡️ Chosen Word: 'endanger' | Target POS: N/A | Chosen POS: VERB
[LOG] ➡️ Chosen Word: 'her' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'banker' | Target POS: N/A | Chosen POS: NOUN
[LOG] ➡️ Chosen Word: 'be' | Target POS: N/A | Chosen POS: AUX
[LOG] ➡️ Chosen Word: 'spy' | Target POS: N/A | Chosen POS: NOUN
[LOG] ➡️ Chosen Word: 'watch' | Target POS: N/A | Chosen POS: VERB
[LOG] ➡️ Chosen Word: 'the' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'newspaper' | Target POS: N/A | Chosen POS: NOUN
[LOG] ➡️ Chosen Word: 'the' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'back' | Target POS: N/A | Chosen POS: ADV
[LOG] ➡️ Chosen Word: 'to' | Target POS: N/A | Chosen POS: ADP
[LOG] ➡️ Chosen Word: 'be' | Target POS: N/A | Chosen POS: AUX
[LOG] ➡️ Chosen Word: 'no' | Target POS: N/A | Chosen POS: INTJ
[LOG] ➡️ Chosen Word: 'one' | Target POS: N/A | Chosen POS: NUM
[LOG] ➡️ Chosen Word: 'could' | Target POS: N/A | Chosen POS: AUX
[LOG] ➡️ Chosen Word: 'have' | Target POS: N/A | Chosen POS: VERB
[LOG] ➡️ Chosen Word: 'to' | Target POS: N/A | Chosen POS: ADP
[LOG] ➡️ Chosen Word: 'small' | Target POS: N/A | Chosen POS: ADJ
[LOG] ➡️ Chosen Word: 'we' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'can' | Target POS: N/A | Chosen POS: AUX
[LOG] ➡️ Chosen Word: 'we' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'could' | Target POS: N/A | Chosen POS: AUX
[LOG] ➡️ Chosen Word: 'that' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'you' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'can' | Target POS: N/A | Chosen POS: AUX
[LOG] ➡️ Chosen Word: 'you' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'have' | Target POS: N/A | Chosen POS: VERB
[LOG] ➡️ Chosen Word: 'nothing' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'but' | Target POS: N/A | Chosen POS: CCONJ
[LOG] ➡️ Chosen Word: 'if' | Target POS: N/A | Chosen POS: SCONJ
[LOG] ➡️ Chosen Word: 'I' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'have' | Target POS: N/A | Chosen POS: VERB
[LOG] ➡️ Chosen Word: 'not' | Target POS: N/A | Chosen POS: PART
Generated Text:
I looked at my friends, exhaustion and fear etched into their faces. Theatre the same collection ask his hand upon a chair and that although the. Sufficiently account of low water the assassin friend say he has thousand franc which could endanger. Dictator escort her banker be spy watch the newspaper the back to be no one could have to. Motive a small we can we could that you can you have nothing but if I have not.
Loaded existing model.
[LOG] ➡️ Chosen Word: 'raise' | Target POS: N/A | Chosen POS: VERB
[LOG] ➡️ Chosen Word: 'his' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'lynx' | Target POS: N/A | Chosen POS: VERB
[LOG] ➡️ Chosen Word: 'eye' | Target POS: N/A | Chosen POS: NOUN
[LOG] ➡️ Chosen Word: 'betray' | Target POS: N/A | Chosen POS: VERB
[LOG] ➡️ Chosen Word: 'no' | Target POS: N/A | Chosen POS: INTJ
[LOG] ➡️ Chosen Word: 'thought' | Target POS: N/A | Chosen POS: VERB
[LOG] ➡️ Chosen Word: 'what' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'be' | Target POS: N/A | Chosen POS: AUX
[LOG] ➡️ Chosen Word: 'sure' | Target POS: N/A | Chosen POS: ADV
[LOG] ➡️ Chosen Word: 'be' | Target POS: N/A | Chosen POS: AUX
[LOG] ➡️ Chosen Word: 'his' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'whole' | Target POS: N/A | Chosen POS: ADJ
[LOG] ➡️ Chosen Word: 'gilt' | Target POS: N/A | Chosen POS: VERB
[WARN] Combined scores zero. Fallback to uniform distribution.
[LOG] ➡️ Chosen Word: ' ' | Target POS: N/A | Chosen POS: SPACE
[LOG] ➡️ Chosen Word: 'up' | Target POS: N/A | Chosen POS: ADP
[LOG] ➡️ Chosen Word: 'wooden' | Target POS: N/A | Chosen POS: ADJ
[LOG] ➡️ Chosen Word: 'legged' | Target POS: N/A | Chosen POS: ADJ
[LOG] ➡️ Chosen Word: 'one' | Target POS: N/A | Chosen POS: NUM
[LOG] ➡️ Chosen Word: 'I' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'nod' | Target POS: N/A | Chosen POS: VERB
[LOG] ➡️ Chosen Word: 'feel' | Target POS: N/A | Chosen POS: VERB
[LOG] ➡️ Chosen Word: 'like' | Target POS: N/A | Chosen POS: INTJ
[LOG] ➡️ Chosen Word: 'that' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'be' | Target POS: N/A | Chosen POS: AUX
[LOG] ➡️ Chosen Word: 'the' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'world' | Target POS: N/A | Chosen POS: NOUN
[LOG] ➡️ Chosen Word: 'with' | Target POS: N/A | Chosen POS: ADP
[LOG] ➡️ Chosen Word: 'precision' | Target POS: N/A | Chosen POS: NOUN
[LOG] ➡️ Chosen Word: 'the' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'picture' | Target POS: N/A | Chosen POS: NOUN
[LOG] ➡️ Chosen Word: 'of' | Target POS: N/A | Chosen POS: ADP
[LOG] ➡️ Chosen Word: 'concealment' | Target POS: N/A | Chosen POS: NOUN
[LOG] ➡️ Chosen Word: 'about' | Target POS: N/A | Chosen POS: ADV
[LOG] ➡️ Chosen Word: 'the' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'game' | Target POS: N/A | Chosen POS: NOUN
[LOG] ➡️ Chosen Word: 'for' | Target POS: N/A | Chosen POS: ADP
[SKIP] Not a complete thought: Black as the world with precision the picture of concealment about the game for.
[LOG] ➡️ Chosen Word: 'literary' | Target POS: N/A | Chosen POS: ADJ
[LOG] ➡️ Chosen Word: 'matter' | Target POS: N/A | Chosen POS: NOUN
[LOG] ➡️ Chosen Word: 'right' | Target POS: N/A | Chosen POS: INTJ
[LOG] ➡️ Chosen Word: 'beside' | Target POS: N/A | Chosen POS: ADP
[LOG] ➡️ Chosen Word: 'it' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'be' | Target POS: N/A | Chosen POS: AUX
[LOG] ➡️ Chosen Word: 'not' | Target POS: N/A | Chosen POS: PART
[LOG] ➡️ Chosen Word: 'tell' | Target POS: N/A | Chosen POS: VERB
[LOG] ➡️ Chosen Word: 'you' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'out' | Target POS: N/A | Chosen POS: ADP
[LOG] ➡️ Chosen Word: 'what' | Target POS: N/A | Chosen POS: PRON
[SKIP] Not a complete thought: There on literary matter right beside it is not tell you out what.
[LOG] ➡️ Chosen Word: 'be' | Target POS: N/A | Chosen POS: AUX
[LOG] ➡️ Chosen Word: 'upon' | Target POS: N/A | Chosen POS: SCONJ
[LOG] ➡️ Chosen Word: 'the' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'decision' | Target POS: N/A | Chosen POS: NOUN
[LOG] ➡️ Chosen Word: 'alright' | Target POS: N/A | Chosen POS: INTJ
[LOG] ➡️ Chosen Word: 'I' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'take' | Target POS: N/A | Chosen POS: VERB
[LOG] ➡️ Chosen Word: 'anything' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'I' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'do' | Target POS: N/A | Chosen POS: VERB
[LOG] ➡️ Chosen Word: 'all' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'too' | Target POS: N/A | Chosen POS: ADV
[LOG] ➡️ Chosen Word: 'much' | Target POS: N/A | Chosen POS: ADJ
[LOG] ➡️ Chosen Word: 'surprised' | Target POS: N/A | Chosen POS: VERB
[LOG] ➡️ Chosen Word: 'she' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'the' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'water' | Target POS: N/A | Chosen POS: NOUN
[LOG] ➡️ Chosen Word: 'rush' | Target POS: N/A | Chosen POS: VERB
[LOG] ➡️ Chosen Word: 'to' | Target POS: N/A | Chosen POS: ADP
[LOG] ➡️ Chosen Word: 'their' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'own' | Target POS: N/A | Chosen POS: VERB
[LOG] ➡️ Chosen Word: 'ground' | Target POS: N/A | Chosen POS: NOUN
[LOG] ➡️ Chosen Word: 'his' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'brother' | Target POS: N/A | Chosen POS: NOUN
[LOG] ➡️ Chosen Word: 'there' | Target POS: N/A | Chosen POS: ADV
[LOG] ➡️ Chosen Word: 'be' | Target POS: N/A | Chosen POS: AUX
[LOG] ➡️ Chosen Word: 'then' | Target POS: N/A | Chosen POS: ADV
[LOG] ➡️ Chosen Word: 'could' | Target POS: N/A | Chosen POS: AUX
[LOG] ➡️ Chosen Word: 'see' | Target POS: N/A | Chosen POS: VERB
[LOG] ➡️ Chosen Word: 'Ford' | Target POS: N/A | Chosen POS: NOUN
Generated Text:
I looked at my friends, exhaustion and fear etched into their faces. Corpse would raise his lynx eye betray no thought what is sure be his whole. Exchange in gilt up wooden legged one I nod feel like that is. Ask coolly be upon the decision alright I take anything I do all too much surprised she. Sir with the water rush to their own ground his brother there is then could see Ford.
Loaded existing model.
[LOG] ➡️ Chosen Word: 'uncertainty' | Target POS: N/A | Chosen POS: NOUN
[LOG] ➡️ Chosen Word: 'could' | Target POS: N/A | Chosen POS: AUX
[LOG] ➡️ Chosen Word: 'be' | Target POS: N/A | Chosen POS: AUX
[LOG] ➡️ Chosen Word: 'concern' | Target POS: N/A | Chosen POS: NOUN
[LOG] ➡️ Chosen Word: 'her' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'sympathy' | Target POS: N/A | Chosen POS: VERB
[LOG] ➡️ Chosen Word: 'evince' | Target POS: N/A | Chosen POS: PROPN
[LOG] ➡️ Chosen Word: 'for' | Target POS: N/A | Chosen POS: ADP
[LOG] ➡️ Chosen Word: 'such' | Target POS: N/A | Chosen POS: ADJ
[LOG] ➡️ Chosen Word: 'as' | Target POS: N/A | Chosen POS: ADP
[LOG] ➡️ Chosen Word: 'little' | Target POS: N/A | Chosen POS: ADJ
[LOG] ➡️ Chosen Word: 'devil' | Target POS: N/A | Chosen POS: NOUN
[LOG] ➡️ Chosen Word: 'worshiper' | Target POS: N/A | Chosen POS: PROPN
[LOG] ➡️ Chosen Word: 'be' | Target POS: N/A | Chosen POS: AUX
[LOG] ➡️ Chosen Word: 'play' | Target POS: N/A | Chosen POS: VERB
[LOG] ➡️ Chosen Word: 'with' | Target POS: N/A | Chosen POS: ADP
[LOG] ➡️ Chosen Word: 'short' | Target POS: N/A | Chosen POS: ADJ
[LOG] ➡️ Chosen Word: 'and' | Target POS: N/A | Chosen POS: CCONJ
[LOG] ➡️ Chosen Word: 'the' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'less' | Target POS: N/A | Chosen POS: ADV
[LOG] ➡️ Chosen Word: 'the' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'present' | Target POS: N/A | Chosen POS: VERB
[LOG] ➡️ Chosen Word: 'when' | Target POS: N/A | Chosen POS: SCONJ
[LOG] ➡️ Chosen Word: 'pop' | Target POS: N/A | Chosen POS: VERB
[WARN] Combined scores zero. Fallback to uniform distribution.
[LOG] ➡️ Chosen Word: 'he' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'stand' | Target POS: N/A | Chosen POS: VERB
[LOG] ➡️ Chosen Word: 'in' | Target POS: N/A | Chosen POS: ADP
[LOG] ➡️ Chosen Word: 'the' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'warehouse' | Target POS: N/A | Chosen POS: NOUN
[LOG] ➡️ Chosen Word: 'nothing' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'but' | Target POS: N/A | Chosen POS: CCONJ
[LOG] ➡️ Chosen Word: 'I' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'cry' | Target POS: N/A | Chosen POS: VERB
